,uni_par_id,uni_id,strain,movie_name,replicate,id_colony,id_par,frames,length,area,generation,age,fluo1,fluo1_avg,lifetime,elongation_rate,elongation_rate_linreg
6,Psy-eGFP-0-102,Psy-eGFP-0-103,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,102,43,78.90238189697266,848.5,5.0,6,1819.620950323974,1854.6966543229835,1.5,0.11444421605295435,0.26841521076104796
0,Psy-eGFP-0-103,Psy-eGFP-0-104,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,103,44,41.07014846801758,389.5,6.0,0,1890.2603686635944,1779.5260834418332,2.0,0.10067078184876228,0.2306871553946105
1,Psy-eGFP-0-103,Psy-eGFP-0-104,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,103,45,45.538516998291016,423.5,6.0,1,1940.7690677966104,1779.5260834418332,2.0,0.10067078184876228,0.2306871553946105
2,Psy-eGFP-0-103,Psy-eGFP-0-104,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,103,46,47.77951431274414,452.0,6.0,2,1924.0119284294235,1779.5260834418332,2.0,0.10067078184876228,0.2306871553946105
3,Psy-eGFP-0-103,Psy-eGFP-0-104,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,103,47,51.7623291015625,513.5,6.0,3,1885.6795774647887,1779.5260834418332,2.0,0.10067078184876228,0.2306871553946105
4,Psy-eGFP-0-103,Psy-eGFP-0-104,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,103,48,54.59834671020508,535.5,6.0,4,1806.8296795952783,1779.5260834418332,2.0,0.10067078184876228,0.2306871553946105
5,Psy-eGFP-0-103,Psy-eGFP-0-104,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,103,49,58.1859016418457,557.0,6.0,5,1720.142857142857,1779.5260834418332,2.0,0.10067078184876228,0.2306871553946105
6,Psy-eGFP-0-103,Psy-eGFP-0-104,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,103,50,61.022705078125,578.5,6.0,6,1655.728125,1779.5260834418332,2.0,0.10067078184876228,0.2306871553946105
7,Psy-eGFP-0-103,Psy-eGFP-0-104,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,103,51,63.54574203491211,639.5,6.0,7,1615.8947368421052,1779.5260834418332,2.0,0.10067078184876228,0.2306871553946105
8,Psy-eGFP-0-103,Psy-eGFP-0-104,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,103,52,65.29318237304688,653.5,6.0,8,1576.418410041841,1779.5260834418332,2.0,0.10067078184876228,0.2306871553946105
0,Psy-eGFP-0-113,Psy-eGFP-0-114,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,1,113,44,37.168731689453125,308.0,5.0,0,2346.4597701149423,2081.9402468716903,2.0,0.08569086259933154,0.18417259030507604
1,Psy-eGFP-0-113,Psy-eGFP-0-114,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,1,113,45,40.43911361694336,369.0,5.0,1,2223.676399026764,2081.9402468716903,2.0,0.08569086259933154,0.18417259030507604
2,Psy-eGFP-0-113,Psy-eGFP-0-114,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,1,113,46,40.77046585083008,379.0,5.0,2,2171.054892601432,2081.9402468716903,2.0,0.08569086259933154,0.18417259030507604
3,Psy-eGFP-0-113,Psy-eGFP-0-114,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,1,113,47,40.36010360717773,379.0,5.0,3,2187.04066985646,2081.9402468716903,2.0,0.08569086259933154,0.18417259030507604
4,Psy-eGFP-0-113,Psy-eGFP-0-114,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,1,113,48,42.47926712036133,426.5,5.0,4,2074.0042826552462,2081.9402468716903,2.0,0.08569086259933154,0.18417259030507604
5,Psy-eGFP-0-113,Psy-eGFP-0-114,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,1,113,49,44.81291580200195,463.5,5.0,5,2044.0138339920948,2081.9402468716903,2.0,0.08569086259933154,0.18417259030507604
6,Psy-eGFP-0-113,Psy-eGFP-0-114,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,1,113,50,48.80935287475586,515.0,5.0,6,1962.369642857143,2081.9402468716903,2.0,0.08569086259933154,0.18417259030507604
7,Psy-eGFP-0-113,Psy-eGFP-0-114,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,1,113,51,51.400001525878906,534.0,5.0,7,1903.474226804124,2081.9402468716903,2.0,0.08569086259933154,0.18417259030507604
8,Psy-eGFP-0-113,Psy-eGFP-0-114,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,1,113,52,55.15177154541016,579.0,5.0,8,1825.368503937008,2081.9402468716903,2.0,0.08569086259933154,0.18417259030507604
0,Psy-eGFP-0-122,Psy-eGFP-0-123,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,0,122,39,59.031829833984375,537.5,7.0,0,1865.539898132428,1960.181501180235,2.0,0.0913512294030475,0.2261489665209401
1,Psy-eGFP-0-122,Psy-eGFP-0-123,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,0,122,40,60.198204040527344,545.0,7.0,1,1901.138795986622,1960.181501180235,2.0,0.0913512294030475,0.2261489665209401
2,Psy-eGFP-0-122,Psy-eGFP-0-123,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,0,122,41,65.09788513183594,598.0,7.0,2,1897.4595419847328,1960.181501180235,2.0,0.0913512294030475,0.2261489665209401
3,Psy-eGFP-0-122,Psy-eGFP-0-123,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,0,122,42,68.75653076171875,645.0,7.0,3,1884.5177304964536,1960.181501180235,2.0,0.0913512294030475,0.2261489665209401
4,Psy-eGFP-0-122,Psy-eGFP-0-123,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,0,122,43,73.53981018066406,694.5,7.0,4,2045.759577278732,1960.181501180235,2.0,0.0913512294030475,0.2261489665209401
5,Psy-eGFP-0-122,Psy-eGFP-0-123,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,0,122,44,79.19116973876953,736.5,7.0,5,2057.224844720497,1960.181501180235,2.0,0.0913512294030475,0.2261489665209401
6,Psy-eGFP-0-122,Psy-eGFP-0-123,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,0,122,45,82.03448486328125,765.5,7.0,6,1997.9749103942647,1960.181501180235,2.0,0.0913512294030475,0.2261489665209401
7,Psy-eGFP-0-122,Psy-eGFP-0-123,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,0,122,46,87.02603149414062,813.0,7.0,7,1914.668918918919,1960.181501180235,2.0,0.0913512294030475,0.2261489665209401
8,Psy-eGFP-0-122,Psy-eGFP-0-123,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,0,122,47,89.906005859375,837.5,7.0,8,2077.3492927094667,1960.181501180235,2.0,0.0913512294030475,0.2261489665209401
0,Psy-eGFP-0-123,Psy-eGFP-0-124,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,0,123,48,46.06299591064453,414.5,8.0,0,2071.954446854664,2094.13684325418,1.0,0.06993977852990259,0.15867950442597537
1,Psy-eGFP-0-123,Psy-eGFP-0-124,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,0,123,49,48.74628448486328,439.0,8.0,1,2100.3565573770493,2094.13684325418,1.0,0.06993977852990259,0.15867950442597537
